Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2/2/2021,1915.7,1938.3,1855,1926.45,1890.01,1088933,76486,2058094544,306954,28.19,83.3,10.75
2/1/2021,1845.2,1904.7,1845.2,1895.35,1873.39,818509,58703,1533388010,293927,35.91,59.5,50.15
1/29/2021,1896.7,1911.75,1830,1843.15,1875.07,926815,71721,1737839350,375028,40.46,81.75,-53.55
1/28/2021,1879,1923.35,1870.15,1876.6,1890.56,2069380,75266,3912294609,1394191,67.37,53.2,-2.4
1/27/2021,1930.2,1930.2,1888,1895.25,1905.47,1740178,39082,3315849398,1316619,75.66,42.2,-34.95
1/25/2021,2052,2052,1932.2,1939.7,1965.08,1345520,97513,2644053233,401963,29.87,119.8,-112.3
1/22/2021,2114.8,2115.9,2035.2,2049.65,2071.27,507943,28737,1052087739,84268,16.59,80.7,-65.15
1/21/2021,2082,2119.8,2075,2097.85,2102.81,1545088,81463,3249027247,657864,42.58,44.8,15.85
1/20/2021,2022.5,2058.05,2001.25,2054.85,2040.66,488577,23309,997018081,176300,36.08,56.8,32.35
1/19/2021,1994,2030.9,1993.65,2016.3,2019.37,591919,30814,1195302990,244784,41.35,37.25,22.3
1/18/2021,1940,1996.6,1922.65,1983.5,1969.57,1363505,75740,2685513745,633565,46.47,73.95,43.5
1/15/2021,1960,1973.15,1920.15,1937.6,1954.98,1266407,39592,2475800184,338343,26.72,53,-22.4
1/14/2021,1939.1,1966.5,1936.05,1960.6,1947.01,1829840,40651,3562711976,1434829,78.41,30.45,21.5
1/13/2021,1964.8,1974.95,1918.65,1939.1,1949.19,474934,22432,925737945,105601,22.23,56.3,-25.7
1/12/2021,1910,1960,1900,1956.65,1937.75,497793,24486,964599275,110381,22.17,60,46.65
1/11/2021,1935,1938.9,1892.25,1897,1908.35,415573,26254,793060768,155931,37.52,46.65,-38
1/8/2021,1920.9,1938.2,1912.7,1933.05,1922.41,299804,17589,576346883,92856,30.97,25.5,12.15
1/7/2021,1921.9,1945.2,1905.65,1911,1919.92,564975,27371,1084706889,260378,46.09,39.55,-10.9
1/6/2021,1968,1968,1905,1914.15,1927.78,864039,41948,1665676347,298443,34.54,63,-53.85
1/5/2021,1972.05,1984,1956,1966,1968.89,338549,18785,666564846,110097,32.52,28,-6.05
1/4/2021,1988.55,1997.9,1967.9,1990.65,1981.4,345853,18024,685271922,79151,22.89,30,2.1
1/1/2021,1986.15,1997.3,1982.3,1987.15,1989.52,157713,8773,313773911,39415,24.99,15,1
12/31/2020,1994.75,2011,1980,1984.65,1997.54,465795,28122,930444032,135009,28.98,31,-10.1
12/30/2020,1992.55,2006.85,1975.9,1995.5,1991.69,224277,11597,446691002,38363,17.11,30.95,2.95
12/29/2020,2007.35,2012.8,1982.6,1989.2,1992.18,250017,12277,498078640,63050,25.22,30.2,-18.15
12/28/2020,2004.1,2024.9,1995.6,2003.25,2005.83,335518,17189,672992095,132397,39.46,29.3,-0.85
12/24/2020,1950.8,1998.65,1947.05,1993.9,1976.86,289379,16905,572062340,76634,26.48,51.6,43.1
12/23/2020,1932.8,1951.2,1920,1943.8,1938.4,299743,19714,581023140,111655,37.25,31.2,11
12/22/2020,1940,1958.4,1887.75,1936.6,1920.48,972241,72496,1867170955,304755,31.35,70.65,-3.4
12/21/2020,2010,2022,1856.05,1939.75,1977.95,1499610,78562,2966146578,581157,38.75,165.95,-70.25
12/18/2020,1983,2005,1965,1992.25,1978.53,218330,13259,431971766,53448,24.48,40,9.25
12/17/2020,1980.9,2005,1977.1,1985.05,1989.58,238834,13419,475178264,48563,20.33,27.9,4.15
12/16/2020,1988,1995,1965.75,1976.05,1977.72,272748,15361,539419271,85302,31.28,29.25,-11.95
12/15/2020,1992.9,1992.9,1961.5,1974,1973.41,211535,13741,417446328,53014,25.06,31.4,-18.9
12/14/2020,2013,2015.25,1987.05,1991.15,1996.94,232903,19745,465094056,74421,31.95,28.2,-21.85
12/11/2020,2011.2,2037.8,1974.4,2005.6,2017.32,689028,43146,1389993169,232791,33.79,63.4,-5.6
12/10/2020,2020,2028.4,2000.95,2007.2,2010.01,270177,14276,543058845,59011,21.84,27.45,-12.8
12/9/2020,2013,2033.8,2000,2026.65,2020.38,917242,50395,1853175304,417369,45.5,33.8,13.65
12/8/2020,1963,2014.2,1950.15,1993.75,1995.95,683240,29635,1363709764,110610,16.19,64.05,30.75
12/7/2020,1942,1965,1942,1958.05,1955.63,293809,20719,574582722,129734,44.16,23,16.05
12/4/2020,1963,1967.85,1940,1946.55,1947.79,250336,26897,487602004,115290,46.05,27.85,-16.45
12/3/2020,1970,1981.1,1958.05,1963.45,1964.59,1489127,16539,2925526559,1293175,86.84,23.05,-6.55
12/2/2020,1962.95,1962.95,1935,1957.6,1948.34,220138,14040,428904060,48462,22.01,27.95,-5.35
12/1/2020,1935.25,1965.9,1931,1954.3,1949.74,593339,48089,1156859600,240644,40.56,34.9,19.05
11/27/2020,1941,1955.85,1921.55,1929.85,1938.94,523191,40636,1014438216,143441,27.42,34.3,-11.15
11/26/2020,1950.05,1964.85,1930.4,1953.8,1946.87,450855,19617,877757093,193568,42.93,34.45,3.75
11/25/2020,1980,1992,1942.3,1947.75,1969.55,914063,55990,1800294198,271195,29.67,49.7,-32.25
11/24/2020,1962,1973.6,1931.2,1965.1,1951.96,750504,56379,1464953130,258433,34.43,42.4,3.1
11/23/2020,1929,1970,1927,1950.8,1951.7,598632,38074,1168352610,129501,21.63,43,21.8
11/20/2020,1977.8,1984.1,1894.6,1899.2,1924.37,863183,56844,1661082901,293614,34.02,89.5,-78.6
11/19/2020,1986.4,2010,1968,1972.65,1988.17,802733,59306,1595966958,255097,31.78,42,-13.75
11/18/2020,1997.45,2006.65,1961,1987.2,1980.18,427982,29066,847479625,78708,18.39,45.65,-10.25
11/17/2020,2084,2084,1985,1992.9,2012.31,643296,33218,1294508359,142610,22.17,99,-91.1
11/14/2020,2013,2016.25,1996,2001.8,2005.75,100085,8102,200745082,39617,39.58,20.25,-11.2
11/13/2020,1990,2036.65,1981,1996.1,1985.53,1825121,31252,3623827260,1276056,69.92,55.65,6.1
11/12/2020,1985,2008.35,1965,1979.85,1988,711464,38178,1414393459,283431,39.84,43.35,-5.15
11/11/2020,2092,2095.35,1979,1996.9,2030.37,811189,49750,1647015049,203295,25.06,116.35,-95.1
11/10/2020,2075,2090,2041.8,2084.5,2065.96,1068647,32518,2207784660,640208,59.91,48.2,9.5
11/9/2020,2058.7,2070,2038.9,2050.3,2050.1,843691,33971,1729649948,391982,46.46,31.1,-8.4
11/6/2020,1988,2040,1977.65,2029,2014.83,1886873,100883,3801735170,630231,33.4,62.35,41
11/5/2020,1949,1960,1931.4,1955.1,1949.15,954587,55609,1860630553,341428,35.77,28.6,6.1
11/4/2020,1840,1928.85,1840,1913.45,1893.81,1065630,61401,2018100947,181678,17.05,88.85,73.45
11/3/2020,1888,1909.5,1835,1849.45,1874,1164099,66979,2181517471,249547,21.44,74.5,-38.55
